id,session_date,session_time,duration_seconds,distance,distance_unit,elevation_gain,elevation_unit,average_heart_rate,average_cadence,temperature,humidity,conditions,sport,activity,location,tags,session_type,notes
1,2026-06-09,,2601,5.88,mi,414,ft,140,173,69,92,,running,,outdoor,strides,,
2,2026-06-10,,1589,3.44,mi,265,ft,137,170,68,96,,running,,outdoor,,,
3,2026-06-10,,1522,3.54,mi,29,ft,152,,83,69,,running,,outdoor,,race,
4,2026-06-11,,3301,7.01,mi,0,ft,151,168,,,,running,,indoor,treadmill,,
5,2026-06-13,,3851,8.65,mi,529,ft,154,172,74,85,,running,,outdoor,,,
6,2026-06-14,,5905,14.01,mi,659,ft,155,174,71,89,,running,,outdoor,,"workout, long_run",
7,2026-06-16,,3208,7.19,mi,459,ft,138,173,66,68,,running,,outdoor,,,
8,2026-06-17,,3242,7.24,mi,545,ft,135,172,65,89,,running,,outdoor,,,
9,2026-06-18,,3363,8.11,mi,472,ft,161,172,75,84,,running,,outdoor,,workout,
10,2026-06-20,,3461,8.21,mi,495,ft,150,172,75,56,,running,,outdoor,strides,,
11,2026-06-21,,6302,15.01,mi,,,153,172,64,90,,running,,outdoor,,"workout, long_run",
12,2026-06-22,,1800,2.00,mi,,,136,,,,,cross_training,Uphill Treadmill,indoor,treadmill, ,
13,2026-06-23,,3155,7.19,mi,418,ft,144,174,74,87,,running,,outdoor,strides,,
14,2026-06-24,,1893,4.00,mi,,,142,168,,,,running,,indoor,treadmill, ,
15,2026-06-24,,1559,3.76,mi,28,ft,157,,83,38,,running,,outdoor,,race,
16,2026-06-26,,3781,8.54,mi,534,ft,146,174,,,,running,,outdoor,,,
17,2026-06-27,,2736,6.35,mi,326,ft,158,168,84,68,,running,,outdoor,,,
18,2026-06-28,,6290,15.00,mi,812,ft,162,173,69,94,,running,,outdoor,,"workout, long_run",
19,2026-06-30,,3481,7.75,mi,483,ft,143,172,72,91,,running,,outdoor,,,
20,2026-07-01,,3406,8.09,mi,,,165,169,81,73,,running,,outdoor,,workout,
21,2026-07-02,,1800,2.00,mi,, ,141,,,,,cross_training,Uphill Treadmill,indoor,treadmill, ,
22,2026-07-03,,3134,7.27,mi,393,ft,156,173,75,87,,running,,outdoor,strides,,
23,2026-07-04,,2042,5.54,mi,266,ft,170,,76,82,,running,,outdoor,,race,
24,2026-07-05,,6192,14.00,mi,948,ft,149,172,73,85,,running,,outdoor,,long_run,
25,2026-07-07,,2955,6.35,mi,478,ft,134,171,71,96,,running,,outdoor,,,
26,2026-07-08,,3158,7.18,mi,429,ft,135,175,72,94,,running,,outdoor,strides,,
27,2026-07-09,,3485,8.30,mi,,,149,173,73,89,,running,,outdoor,,workout,
28,2026-07-11,,3690,8.18,mi,502,ft,147,172,73,90,,running,,outdoor,,,
29,2026-07-12,,6515,15.01,mi,846,ft,157,169,73,94,,running,,outdoor,,"workout, long_run",
30,2026-07-14,,2342,5.01,mi,,  ,146,169,,,,running,,indoor,treadmill,,
31,2026-07-15,,3281,7.75,mi,, ,155,173,67,90,,running,,outdoor,,workout,
32,2026-07-16,,1200,1.33,mi,, ,136,,,,,cross_training,Uphill Treadmill,indoor,treadmill, ,
33,2026-07-17,,3222,7.07,mi,434,ft,144,171,73,90,,running,,outdoor,,,
34,2026-07-18,,3662,8.23,mi,534,ft,160,169,84,73,,running,,outdoor,,,
35,2026-07-19,,6936,16.00,mi,753,ft,157,171,75,87,,running,,outdoor,,long_run,
36,2026-07-21,,3254,7.01,mi,, ,151,164,,,,running,,indoor,treadmill,,
37,2026-07-22,,3037,7.07,mi,, ,157,169,78,75,,running,,outdoor,,workout,
38,2026-07-24,,2905,6.17,mi,486,ft,152,171,67,94,,running,,outdoor,,,
39,2026-07-25,,3220,7.51,mi,432,ft,153,173,70,94,,running,,outdoor,strides,,
40,2026-07-26,,7332,17.00,mi,, ,160,170,70,96,,running,,outdoor,,"workout, long_run",
41,2026-07-28,,3986,8.06,mi,550,ft,137,157,82,76,,running,,outdoor,,,
42,2026-07-29,,3686,8.30,mi,486,ft,152,171,82,64,,running,,outdoor,,,
43,2026-07-30,,3546,8.54,mi,, ,155,175,64,83,,running,,outdoor,,workout,1’ jog recovery between reps and 3’ total jog recovery between sets. Wanted to focus on hitting faster paces today and succeeded. Not quite third lung good but the cooler air was 👌🏻
44,2026-08-01,,3260,7.31,mi,419,ft,152,173,77,83,,running,,outdoor,strides,,Humidity was back in full force and I felt sluggish for those first few miles.
45,2026-08-02,,7298,17.06,mi,752,ft,158,173,72,93,Light rain,running,,outdoor,,"workout, long_run","8 miles normal before the first first 3 mi progression, 1 mile easy in between, and 2 miles easy to round out 17. SiS Beta Fuel during the 12th mile in between progressions plus water from the handheld throughout. Despite the humidity was able to hit a solid workout."
46,2026-08-04,,2822,6.03,mi,, ,151,168,,,,running,,indoor,treadmill,,"Started at 7.2 mph, progressed to 8 mph with stops at 7.6, 7.7, and 7.8 along the way."
47,2026-08-05,,3644,8.71,mi,, ,157,173,71,96,Foggy,running,,outdoor,,workout,"Humid but feel decently acclimated at this point. This was one of the best workouts I’ve had in a while, solid paces despite the humidity outside of the 5th rep."
48,2026-08-07,,3733,8.24,mi,534,ft,146,172,68,99,,running,,outdoor,,,Even just a few degrees cooler feels so much better and it didn’t look like I’d been swimming afterwards.
49,2026-08-08,,2090,4.73,mi,, ,155,174,86,65,Partly cloudy,running,,outdoor,strides,,Lap and a half around the Petal to the Medal course in between stints of walk/jog with Courtney
50,2026-08-09,,6932,16.00,mi,, ,155,171,70,95,,running,,outdoor,,"workout, long_run",Probably the best in long run surges yet. Focused more today on keeping the pace decent in the recovery between surges. No water and no gels during this week.
51,2026-08-11,,3661,8.10,mi,543,ft,139,172,72,89,,running,,outdoor,,,"Run felt good but first time in 20 years of running that I got buzzed by some sort of big bird, a hawk or owl."
52,2026-08-12,,3183,7.57,mi,, ,151,173,69,94,,running,,outdoor,,workout,"1’ jog recovery between. These felt smooth! A tiny bit cooler this morning, which helped but mainly fitness may finally be coming around."
53,2026-08-13,,2481,5.26,mi,152,ft,143,173,85,68,Cloudy,running,,outdoor,run_club,,Nice and easy recovery run at Triple C with Dan and Mike
54,2026-08-14,,3283,7.50,mi,236,ft,158,168,76,86,Partly cloudy,running,,outdoor, ,,It felt okay but the summer humidity was back in full force with the slightly later start and it looked like I had emerged from a swimming pool afterwards.
55,2026-08-15,,1800,2.00,mi,1373,ft,136,,,,,cross_training,Uphill Treadmill,indoor,treadmill, ,Nice and easy uphill treadmill cross training session.
56,2026-08-16,,7625,18.01,mi,826,ft,157,173,73,94,Sunny,running,,outdoor,,"workout, long_run",Mentally broke the 10 miles steady to finish into 3x3mi plus 1 mi where I tried to work down to marathon effort. First two 3 mile segments felt pretty good and controlled but then between the false flat and the humidity I was hanging on a little in those last 4 miles.
57,2026-08-18,,3724,8.24,mi,510,ft,137,173,72,91,,running,,outdoor,,,Easy run from the house felt good after the first couple of miles.
58,2026-08-19,,3707,8.87,mi,, ,153,174,71,88,,running,,outdoor,,workout,1’45” jog between reps and 4’ jog between sets. Really consistent splits and it felt hard but under control and like I definitely won that workout.
59,2026-08-20,,2321,5.21,mi,141,ft,148,175,92,49,Partly cloudy,running,,outdoor,run_club,,Pair of demo Ghosts. Nice catching up with Dan again. Two weeks in a row of CCC!
60,2026-08-21,,3282,6.69,mi,546,ft,145,176,72,92,Cloudy,running,,outdoor,strides,,"Easy double lap of the mountain bike trails at North Meck, which I didn’t realize had re-opened. There’s also new greenway but I didn’t explore that at all today."
61,2026-08-22,,8710,20.00,mi,715,ft,157,172,70,97,Cloudy,running,,outdoor,,"workout, long_run","8 mi easy to start and then 2 mi easy between reps. First felt great, second rep was a struggle those last 3 miles but we did it with 33:01 and 33:22 splits."
62,2026-08-24,,3707,8.17,mi,516,ft,133,172,64,87,,running,,outdoor,,,Legs still felt trashed from Saturday’s long run and yesterday’s lift but the weather was glorious.
63,2026-08-25,,3072,7.40,mi,, ,146,175,62,82,,running,,outdoor,,workout,2x4x2’ with 1’15” jog recovery between reps and 4’ between sets. Breathing and aerobic system felt great but I couldn’t turn the legs over much faster and that felt like the real limiter today.
64,2026-08-26,,907,1.01,mi,639,ft,122,,,,,cross_training,Uphill Treadmill,indoor,treadmill, ,Short and easy uphill treadmill at 4 mph and 12% incline before lifting
65,2026-08-27,,2931,6.34,mi,545,ft,134,171,71,96,,running,,outdoor,,,Easy recovery run from the house. Typical slow start but got rolling and felt much better.
66,2026-08-28,,2490,5.56,mi,278,ft,139,171,70,94,Cloudy,running,,outdoor,strides,,Recovery run from Downtown Huntersville through Vermillion after dropping the girls at school. Felt smooth and strides felt great.
67,2026-08-29,,4192,10.13,mi,389,ft,158,,68,94,Cloudy,running,,outdoor,,race,"17:21.6 5th OA, 1st AG. Ugh thought I was in a little better shape than this… I guess it’s a little better on paper than July 4th so I’ll take that. Also the first 5:18 felt so easy and smooth but that third mile needed to be at least 20” faster. Can it be fall yet? Long cool down along the light rail trail afterwards so that tomorrow I can just do a medium long run instead of a full blown 15+ miler."
68,2026-08-30,,5524,12.43,mi,873,ft,146,173,72,96,Cloudy,running,,outdoor,,long_run,Hilly 20km long run through Skybrook the day after the race. Started slow and kept the first half very easy. Second half got decently fast with just a tiny increase in intensity. I needed a confidence boosting day like this after yesterday’s race.
69,2026-09-01,,1980,4.12,mi,, ,134,167,,, ,running,,indoor,treadmill,,Got on the treadmill late but managed to get in two thirds of my planned workout. Felt okay once I got moving.
70,2026-09-02,,2835,7.25,mi,, ,160,176,73,92,,running,,outdoor,,workout,1’30” jog between reps and 4’ between sets. Started with the intent of doing 2 x 3 x 4’ but got out the door a few minutes late and didn’t do my math well when designing the workout so only did 2 reps for set number 2. Didn’t feel unusually good but hit the best paces I’ve hit in this type of workout in some time. Another good confidence restorer after Saturday.
